STARTSTATIONNAME,STARTSTATIONARRONDISSEMENT,STARTSTATIONLATITUDE,STARTSTATIONLONGITUDE,ENDSTATIONNAME,ENDSTATIONARRONDISSEMENT,ENDSTATIONLATITUDE,ENDSTATIONLONGITUDE,STARTTIMEMS,ENDTIMEMS
Parc Labelle (LaSalle / Henri-Duhamel),Verdun,45.472561,-73.5699892,Ryde / Charlevoix,Le Sud-Ouest,45.475743,-73.564601,1653343977580,1653344139831
Métro Papineau (Cartier / Ste-Catherine),Ville-Marie,45.52353,-73.55199,Métro Place-d'Armes (Viger / St-Urbain),Ville-Marie,45.50623,-73.55976,1653343985837,1653345680859
Bernard / Jeanne-Mance,Le Plateau-Mont-Royal,45.524287,-73.604973,Waverly / Van Horne,Le Plateau-Mont-Royal,45.527363,-73.607723,1653343993891,1653345912706
Jeanne-Mance / St-Viateur,Le Plateau-Mont-Royal,45.523027,-73.60184,Parc Jeanne-Mance (du Mont-Royal / du Parc),Le Plateau-Mont-Royal,45.517,-73.589,1653343993681,1653344493584
St-Dominique / Napoléon,Le Plateau-Mont-Royal,45.5166644,-73.5772204,Laurier / de Brébeuf,Le Plateau-Mont-Royal,45.532514,-73.584811,1653343995960,1653344620976
Metcalfe / de Maisonneuve,Ville-Marie,45.501715,-73.57413,Crescent / René-Lévesque,Ville-Marie,45.4959617,-73.5732535,1653343997392,1653344320851
St-Dominique / Bernard,Le Plateau-Mont-Royal,45.527933,-73.601223,de l'Hôtel-de-Ville / Roy,Le Plateau-Mont-Royal,45.517401,-73.574605,1653343997935,1653344697263
Métro Viau (Pierre-de-Coubertin / Viau),Mercier - Hochelaga-Maisonneuve,45.561783,-73.546611,Sherbrooke / Frontenac,Ville-Marie,45.5367,-73.56081,1653343997244,1653344912043
Smith / Peel,Le Sud-Ouest,-1.0,-1.0,Casino de Montréal,Ville-Marie,45.506373,-73.524577,1653344001010,1653345209225
Berri / Cherrier,Le Plateau-Mont-Royal,45.519088,-73.569509,Gauthier / Papineau,Le Plateau-Mont-Royal,45.529666,-73.567336,1653344001999,1653344509053
Panet / Ste-Catherine,Ville-Marie,45.5199567,-73.5548166,Molson / Beaubien,Rosemont - La Petite-Patrie,45.549686,-73.591155,1653344010039,1653345818725
Villeneuve / St-Urbain,Le Plateau-Mont-Royal,45.520188,-73.590559,Chambord/ Beaubien,Rosemont - La Petite-Patrie,45.5399002,-73.5993621,1653344003071,1653344914629
Everett / Garnier,Villeray - Saint-Michel - Parc-Extension,45.5475815,-73.6122085,de la Roche / Everett,Villeray - Saint-Michel - Parc-Extension,45.544867,-73.614841,1653344003132,1653344112948
Bishop / Ste-Catherine,Ville-Marie,45.496583,-73.576502,Calixa-Lavallée / Rachel,Le Plateau-Mont-Royal,45.527795,-73.571939,1653344005810,1653345863696
Bernard / Jeanne-Mance,Le Plateau-Mont-Royal,45.524287,-73.604973,Waverly / Van Horne,Le Plateau-Mont-Royal,45.527363,-73.607723,1653344007881,1653345898079
de Léry / Sherbrooke,Mercier - Hochelaga-Maisonneuve,45.5409997,-73.5582626,André-Laurendeau / Rachel,Rosemont - La Petite-Patrie,45.5428981,-73.561846,1653344003660,1653344115873
Parc Maisonneuve (Viau / Sherbrooke),Rosemont - La Petite-Patrie,45.5649368,-73.5555911,Berri / Cherrier,Le Plateau-Mont-Royal,45.519088,-73.569509,1653344009487,1653345833246
de l'Esplanade / du Mont-Royal,Le Plateau-Mont-Royal,45.518253,-73.588338,McTavish / Sherbrooke,Ville-Marie,45.502813,-73.576024,1653344015322,1653344444906
Casgrain / St-Viateur,Le Plateau-Mont-Royal,45.527513,-73.598791,Jeanne-Mance / St-Viateur,Le Plateau-Mont-Royal,45.523027,-73.60184,1653344012768,1653344226310
Drolet / Laurier,Le Plateau-Mont-Royal,45.526252,-73.589758,St-Dominique / Rachel,Le Plateau-Mont-Royal,45.518593,-73.581566,1653344012208,1653344267718
University / Milton,Ville-Marie,45.506511,-73.576669,Ste-Famille / des Pins,Le Plateau-Mont-Royal,45.512832,-73.576888,1653344017580,1653344380791
Panet / Ste-Catherine,Ville-Marie,45.5199567,-73.5548166,Molson / Beaubien,Rosemont - La Petite-Patrie,45.549686,-73.591155,1653344018637,1653345797292
Casino de Montréal,Ville-Marie,45.506373,-73.524577,Parc Jean-Drapeau (Chemin Macdonald),Ville-Marie,45.5128006,-73.5311159,1653344022462,1653346382241
Métro Mont-Royal (Rivard / du Mont-Royal),Le Plateau-Mont-Royal,45.524673,-73.58255,Dorion / Ontario,Ville-Marie,45.526991,-73.558212,1653344022005,1653344945757
Elgar / de l'Île-des-Sœurs,Verdun,45.456823,-73.546804,Jacques-Le Ber / de la Pointe Nord,Verdun,45.472503,-73.539285,1653344021865,1653344958573
de Bordeaux / Marie-Anne,Le Plateau-Mont-Royal,45.533409,-73.570657,Métro St-Laurent (de Maisonneuve / St-Laurent),Ville-Marie,45.51066,-73.56497,1653344023895,1653344905329
27e avenue / Rosemont,Rosemont - La Petite-Patrie,45.5636787,-73.5716045,Parc Maisonneuve (Viau / Sherbrooke),Rosemont - La Petite-Patrie,45.5649368,-73.5555911,1653344027796,1653347374078
Calixa-Lavallée / Sherbrooke,Le Plateau-Mont-Royal,45.52479,-73.56545,Métro Sherbrooke (de Rigaud / St-Denis),Le Plateau-Mont-Royal,45.5179989,-73.5681841,1653344025897,1653344283706
Casino de Montréal,Ville-Marie,45.506373,-73.524577,Parc Jean-Drapeau (Chemin Macdonald),Ville-Marie,45.5128006,-73.5311159,1653344026747,1653346389642
Métro Papineau (Cartier / Ste-Catherine),Ville-Marie,45.52353,-73.55199,Parthenais / Ste-Catherine,Ville-Marie,45.526006,-73.548864,1653344026258,1653345672337
Laurier / de Brébeuf,Le Plateau-Mont-Royal,45.532514,-73.584811,Chabot / du Mont-Royal,Le Plateau-Mont-Royal,45.534185,-73.573589,1653344028574,1653344417524
Métro Mont-Royal (Rivard / du Mont-Royal),Le Plateau-Mont-Royal,45.524673,-73.58255,de Bordeaux / Marie-Anne,Le Plateau-Mont-Royal,45.533409,-73.570657,1653344029101,1653344558494
Boyer / Beaubien,Rosemont - La Petite-Patrie,45.537041,-73.602026,Cartier / Dandurand,Rosemont - La Petite-Patrie,45.539236,-73.585946,1653344029411,1653344544811
Calixa-Lavallée / Rachel,Le Plateau-Mont-Royal,45.527795,-73.571939,Mackay / Ste-Catherine,Ville-Marie,45.495709,-73.576952,1653344031791,1653345991751
Calixa-Lavallée / Rachel,Le Plateau-Mont-Royal,45.527795,-73.571939,Mackay / Ste-Catherine,Ville-Marie,45.495709,-73.576952,1653344034497,1653345980234
Plessis / Ontario,Ville-Marie,45.523492,-73.56073,Quai de la navette fluviale,Ville-Marie,45.513741,-73.538382,1653344038054,1653345052696
Peel / Ottawa,Le Sud-Ouest,45.4941996,-73.5599846,Peel / Ottawa,Le Sud-Ouest,45.4941996,-73.5599846,1653344043683,1653345497990
Bishop / Ste-Catherine,Ville-Marie,45.496583,-73.576502,Calixa-Lavallée / Rachel,Le Plateau-Mont-Royal,45.527795,-73.571939,1653344039668,1653345869352
4e avenue / de Verdun,Verdun,45.456885,-73.572607,Roy / St-Laurent,Le Plateau-Mont-Royal,45.515616,-73.575808,1653344044999,1653346711721
Marché Atwater,Le Sud-Ouest,45.480208,-73.577599,Métro Atwater (Atwater / Ste-Catherine),Ville-Marie,45.489476,-73.584566,1653344047902,1653344450798
Ste-Émilie / Sir-Georges-Etienne-Cartier,Le Sud-Ouest,45.472668,-73.58539,St-Patrick / Briand,Le Sud-Ouest,45.463397,-73.596436,1653344045348,1653344599414
Métro St-Laurent (de Maisonneuve / St-Laurent),Ville-Marie,45.51066,-73.56497,Parc Jeanne-Mance (du Mont-Royal / du Parc),Le Plateau-Mont-Royal,45.517,-73.589,1653344045344,1653344848044
de Bordeaux / St-Zotique,Rosemont - La Petite-Patrie,45.546539,-73.598665,de Lanaudière / Bélanger,Rosemont - La Petite-Patrie,45.543651,-73.60565,1653344044519,1653344264503
Notre-Dame / Jean-d'Estrées,Ville-Marie,45.4942598,-73.5638181,des Bassins / du Séminaire,Ville-Marie,45.490452,-73.560172,1653344052604,1653344230873
St-Dominique / St-Zotique,Rosemont - La Petite-Patrie,45.532265,-73.611063,Marquette / Rachel,Le Plateau-Mont-Royal,45.529802,-73.57029,1653344052092,1653345118657
Ste-Émilie / Sir-Georges-Etienne-Cartier,Le Sud-Ouest,45.472668,-73.58539,St-Patrick / Briand,Le Sud-Ouest,45.463397,-73.596436,1653344054800,1653344577207
Gilford / St-Denis,Le Plateau-Mont-Royal,45.5251147,-73.586006,de l'Esplanade / Fairmount,Le Plateau-Mont-Royal,45.521496,-73.596827,1653344046157,1653344889425
St-Patrick / Briand,Le Sud-Ouest,45.463397,-73.596436,Parc riverain de Lachine (des Iroquois),Lachine,45.4305431,-73.6690244,1653344052970,1653346594528
de Maisonneuve / Aylmer (ouest),Ville-Marie,45.505063,-73.5706812,Métro Mont-Royal (Rivard / du Mont-Royal),Le Plateau-Mont-Royal,45.524673,-73.58255,1653344057539,1653344894934
Métro Snowdon (de Westbury / Queen-Mary),Côte-des-Neiges - Notre-Dame-de-Grâce,45.485385,-73.628142,CHU Ste-Justine (de la Côte Ste-Catherine / Hudson),Côte-des-Neiges - Notre-Dame-de-Grâce,45.5039817,-73.6228395,1653344059170,1653344671457
26e avenue / Beaubien,Rosemont - La Petite-Patrie,45.564944,-73.577639,Parc du Pélican (1ère avenue / Masson),Rosemont - La Petite-Patrie,45.5451997,-73.5764507,1653344070627,1653344651759
du Mont-Royal / Clark,Le Plateau-Mont-Royal,45.51941,-73.58685,de Brébeuf / du Mont-Royal,Le Plateau-Mont-Royal,45.529408,-73.578154,1653344065214,1653344493741
Métro Peel (de Maisonneuve / Stanley),Ville-Marie,45.50038,-73.57507,de Maisonneuve / Mansfield (sud),Ville-Marie,45.502145,-73.573427,1653344069025,1653344375723
Parc Père-Marquette (Chambord / Rosemont),Rosemont - La Petite-Patrie,45.537088,-73.593219,de l'Esplanade / Fairmount,Le Plateau-Mont-Royal,45.521496,-73.596827,1653344069401,1653344720196
de Lanaudière / Bélanger,Rosemont - La Petite-Patrie,45.543651,-73.60565,de Léry / Sherbrooke,Mercier - Hochelaga-Maisonneuve,45.5409997,-73.5582626,1653344072536,1653345592654
St-Dominique / Rachel,Le Plateau-Mont-Royal,45.518593,-73.581566,Chabanel / du Parc,Ahuntsic-Cartierville,45.538308,-73.654884,1653344074834,1653346350304
CHSLD St-Michel (8e avenue / Jarry),Villeray - Saint-Michel - Parc-Extension,45.5616903,-73.610512,Fabre / St-Zotique,Rosemont - La Petite-Patrie,45.543452,-73.60101,1653344067311,1653344925801
Ste-Émilie / Sir-Georges-Etienne-Cartier,Le Sud-Ouest,45.472668,-73.58539,Drolet / Laurier,Le Plateau-Mont-Royal,45.526252,-73.589758,1653344074158,1653347015789
Bassin olympique (Chemin du Chenal le Moyne),Ville-Marie,45.5169025,-73.5272455,Bassin olympique (Chemin du Chenal le Moyne),Ville-Marie,45.5169025,-73.5272455,1653344069781,1653346164407
Gilford / St-Denis,Le Plateau-Mont-Royal,45.5251147,-73.586006,Hélène-Baillargeon / St-Denis,Le Plateau-Mont-Royal,45.52974,-73.59527,1653344070611,1653344379384
Place du Commerce,Verdun,45.46714,-73.54259,Jacques-Le Ber / de la Pointe Nord,Verdun,45.472503,-73.539285,1653344081054,1653344757508
Pontiac / Gilford,Le Plateau-Mont-Royal,45.527009,-73.585766,Bélanger / St-Denis,Rosemont - La Petite-Patrie,45.53696,-73.61199,1653344084498,1653344990483
Roy / St-Laurent,Le Plateau-Mont-Royal,45.515616,-73.575808,Métro Atwater (Atwater / Ste-Catherine),Ville-Marie,45.489476,-73.584566,1653344081746,1653345139994
La Ronde,Ville-Marie,45.521565,-73.535332,La Ronde,Ville-Marie,45.521565,-73.535332,1653344081771,1653344504877
Grand Boulevard / Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,45.466569,-73.623295,de Maisonneuve / Greene,Westmount,45.486971,-73.589293,1653344085321,1653345998336
27e avenue / Rosemont,Rosemont - La Petite-Patrie,45.5636787,-73.5716045,1ère avenue / Rosemont,Rosemont - La Petite-Patrie,45.5478,-73.584867,1653344084466,1653344974910
de Lanaudière / du Mont-Royal,Le Plateau-Mont-Royal,45.5302211,-73.5769965,de Lanaudière / du Mont-Royal,Le Plateau-Mont-Royal,45.5302211,-73.5769965,1653344091997,1653344762622
Gilford / St-Denis,Le Plateau-Mont-Royal,45.5251147,-73.586006,Hélène-Baillargeon / St-Denis,Le Plateau-Mont-Royal,45.52974,-73.59527,1653344081252,1653344390417
Pontiac / Gilford,Le Plateau-Mont-Royal,45.527009,-73.585766,Bélanger / St-Denis,Rosemont - La Petite-Patrie,45.53696,-73.61199,1653344089853,1653344990734
St-Dominique / de Bellechasse,Rosemont - La Petite-Patrie,45.5295036,-73.6048646,St-Urbain / Beaubien,Rosemont - La Petite-Patrie,45.52951,-73.61068,1653344087662,1653344564709
Durocher / Sherbrooke,Le Plateau-Mont-Royal,45.5070762,-73.5722852,McTavish / Sherbrooke,Ville-Marie,45.502813,-73.576024,1653344091413,1653344385093
Marie-Anne / St-Hubert,Le Plateau-Mont-Royal,45.524683,-73.578897,du Parc-Lafontaine / Rachel,Le Plateau-Mont-Royal,45.5254742,-73.5743251,1653344092116,1653344245885
Ste-Émilie / Sir-Georges-Etienne-Cartier,Le Sud-Ouest,45.472668,-73.58539,de Bordeaux / Gilford,Le Plateau-Mont-Royal,45.53611,-73.576287,1653344098545,1653347107522
Jeanne-Mance / Laurier,Le Plateau-Mont-Royal,45.5201249,-73.5952138,Métro Mont-Royal (Rivard / du Mont-Royal),Le Plateau-Mont-Royal,45.524673,-73.58255,1653344095762,1653344516058
Jogues / Allard,Le Sud-Ouest,45.45002,-73.600306,Métro Verdun (Willibrord / de Verdun),Verdun,45.459488,-73.572092,1653344095363,1653344821563
La Tour de Montréal (Pierre-de-Coubertin / Bennett),Mercier - Hochelaga-Maisonneuve,45.5597053,-73.5515544,Valois / Ste-Catherine,Mercier - Hochelaga-Maisonneuve,45.54523,-73.53725,1653344086497,1653345026027
Notre-Dame / Jean-d'Estrées,Ville-Marie,45.4942598,-73.5638181,de l'Hôtel-de-Ville / Sherbrooke,Ville-Marie,45.514565,-73.568407,1653344092277,1653344832170
Bélanger / St-Denis,Rosemont - La Petite-Patrie,45.53696,-73.61199,Notre-Dame-de-Grâce / Westmount,Westmount,45.4804701,-73.6112161,1653344093112,1653346165571
Parc Loyola (Somerled / Doherty),Côte-des-Neiges - Notre-Dame-de-Grâce,45.460023,-73.644442,Parc Benny (Benny / de Monkland),Côte-des-Neiges - Notre-Dame-de-Grâce,45.4669357,-73.6315311,1653344088197,1653345246884
Gilford / St-Denis,Le Plateau-Mont-Royal,45.5251147,-73.586006,Hélène-Baillargeon / St-Denis,Le Plateau-Mont-Royal,45.52974,-73.59527,1653344087927,1653344386228
de l'Hôtel-de-Ville / Roy,Le Plateau-Mont-Royal,45.517401,-73.574605,Marquette / du Mont-Royal,Le Plateau-Mont-Royal,45.53229,-73.57544,1653344106204,1653344624565
Fullum / de Rouen,Ville-Marie,45.5321322,-73.5587601,Aylmer / Prince-Arthur,Le Plateau-Mont-Royal,45.508567,-73.577698,1653344099410,1653345552844
Aylmer / Prince-Arthur,Le Plateau-Mont-Royal,45.508567,-73.577698,Lucien L'Allier / St-Jacques,Ville-Marie,45.493569,-73.568576,1653344098651,1653345046511
Cadillac / Sherbrooke,Mercier - Hochelaga-Maisonneuve,45.576963,-73.546836,Jeanne-d'Arc / Ontario,Mercier - Hochelaga-Maisonneuve,45.549598,-73.541874,1653344097540,1653354366513
Gilford / St-Denis,Le Plateau-Mont-Royal,45.5251147,-73.586006,de l'Esplanade / Fairmount,Le Plateau-Mont-Royal,45.521496,-73.596827,1653344092699,1653344880502
Parc Jeanne Mance (monument sir George-Etienne Cartier),Le Plateau-Mont-Royal,45.51484,-73.584779,St-Dominique / St-Viateur,Le Plateau-Mont-Royal,45.526557,-73.598276,1653344100070,1653344541368
Fullum / de Rouen,Ville-Marie,45.5321322,-73.5587601,Aylmer / Prince-Arthur,Le Plateau-Mont-Royal,45.508567,-73.577698,1653344101252,1653345546887
Bordeaux / Sherbrooke,Ville-Marie,45.529971,-73.563053,Boyer / du Mont-Royal,Le Plateau-Mont-Royal,45.527432,-73.579917,1653344105315,1653344725211
Desjardins / Ontario,Mercier - Hochelaga-Maisonneuve,45.551192,-73.540873,Parc Maisonneuve (Viau / Sherbrooke),Rosemont - La Petite-Patrie,45.5649368,-73.5555911,1653344109191,1653345310443
Parc St-Paul (Le Caron / Marc-Sauvalle),Le Sud-Ouest,45.461685,-73.584039,5e avenue / Bannantyne,Verdun,45.456365,-73.57614,1653344108403,1653344553474
1ère avenue / Rosemont,Rosemont - La Petite-Patrie,45.5478,-73.584867,Métro Rosemont (de St-Vallier / Rosemont),Rosemont - La Petite-Patrie,45.531783,-73.597793,1653344116943,1653344781704
Place du Commerce,Verdun,45.46714,-73.54259,Jacques-Le Ber / de la Pointe Nord,Verdun,45.472503,-73.539285,1653344120652,1653344747407
Aylmer / Prince-Arthur,Le Plateau-Mont-Royal,45.508567,-73.577698,Duluth / St-Laurent,Le Plateau-Mont-Royal,45.516876,-73.57946,1653344111319,1653344426891
de Lanaudière / du Mont-Royal,Le Plateau-Mont-Royal,45.5302211,-73.5769965,Duvernay / Charlevoix,Le Sud-Ouest,45.482098,-73.574876,1653344115557,1653345790245
de l'Esplanade / du Mont-Royal,Le Plateau-Mont-Royal,45.518253,-73.588338,Jeanne-Mance / St-Viateur,Le Plateau-Mont-Royal,45.523027,-73.60184,1653344121863,1653344426014
Parc St-Laurent (Salk / Thomas-Chapais),Montréal-Nord,45.6062348,-73.6287838,Parc St-Laurent (Salk / Thomas-Chapais),Montréal-Nord,45.6062348,-73.6287838,1653344107692,1653347180365
Clark / Fleury,Ahuntsic-Cartierville,45.547581,-73.665234,Métro Sauvé (Berri / Sauvé),Ahuntsic-Cartierville,45.550692,-73.656367,1653344113217,1653344423324
Milton / du Parc,Le Plateau-Mont-Royal,45.509361,-73.573864,Duluth / St-Laurent,Le Plateau-Mont-Royal,45.516876,-73.57946,1653344114269,1653344613621
Richardson / de Montmorency,Le Sud-Ouest,45.48498,-73.560333,de la Commune / Berri,Ville-Marie,45.51086,-73.54983,1653344117734,1653345135395
Smith / Peel,Le Sud-Ouest,-1.0,-1.0,de la Commune / St-Sulpice,Ville-Marie,45.504242,-73.55347,1653344114275,1653345511096
de Maisonneuve / Mansfield (nord),Ville-Marie,45.502311,-73.5733635,University / Milton,Ville-Marie,45.506511,-73.576669,1653344119568,1653344374803
U. Concordia - Campus Loyola (Sherbrooke / West Broadway),Côte-des-Neiges - Notre-Dame-de-Grâce,45.457509,-73.639485,U. Concordia - Campus Loyola (Sherbrooke / West Broadway),Côte-des-Neiges - Notre-Dame-de-Grâce,45.457509,-73.639485,1653344124218,1653344143376
Parc Loyola (Somerled / Doherty),Côte-des-Neiges - Notre-Dame-de-Grâce,45.460023,-73.644442,Parc Benny (Benny / de Monkland),Côte-des-Neiges - Notre-Dame-de-Grâce,45.4669357,-73.6315311,1653344114738,1653345240860
Parc St-Laurent (Salk / Thomas-Chapais),Montréal-Nord,45.6062348,-73.6287838,Parc St-Laurent (Salk / Thomas-Chapais),Montréal-Nord,45.6062348,-73.6287838,1653344115217,1653347194625
Clark / Fleury,Ahuntsic-Cartierville,45.547581,-73.665234,Métro Sauvé (Berri / Sauvé),Ahuntsic-Cartierville,45.550692,-73.656367,1653344122084,1653344422126
Jeanne-Mance / Laurier,Le Plateau-Mont-Royal,45.5201249,-73.5952138,Gare d'autocars de Montréal (Berri / Ontario),Ville-Marie,45.516897,-73.563949,1653344121763,1653345060529
Notre-Dame / de la Montagne,Ville-Marie,45.493029,-73.564818,Parc Jean-Drapeau (Chemin Macdonald),Ville-Marie,45.5128006,-73.5311159,1653344126273,1653345827066
Calixa-Lavallée / Rachel,Le Plateau-Mont-Royal,45.527795,-73.571939,Boyer / St-Zotique,Rosemont - La Petite-Patrie,45.53848,-73.60556,1653344124634,1653345111261
de la Commune / St-Sulpice,Ville-Marie,45.504242,-73.55347,Duluth /St-Denis,Le Plateau-Mont-Royal,45.5205975,-73.5759705,1653344126636,1653345829595
des Seigneurs / Notre-Dame,Le Sud-Ouest,45.487723,-73.569083,Parc Jean-Drapeau (Chemin Macdonald),Ville-Marie,45.5128006,-73.5311159,1653344128115,1653345535174
de Lanaudière / du Mont-Royal,Le Plateau-Mont-Royal,45.5302211,-73.5769965,de Bullion / du Mont-Royal,Le Plateau-Mont-Royal,45.521751,-73.585268,1653344135159,1653344852805
Louis-Hémon / Rosemont,Rosemont - La Petite-Patrie,45.544599,-73.588223,Square St-Louis (du Square St-Louis / Laval),Le Plateau-Mont-Royal,45.516091,-73.570129,1653344131436,1653345345156
Richardson / de Montmorency,Le Sud-Ouest,45.48498,-73.560333,William / St-Henri,Ville-Marie,45.498919,-73.557254,1653344131130,1653344790292
Ste-Émilie / Sir-Georges-Etienne-Cartier,Le Sud-Ouest,45.472668,-73.58539,St-Patrick / Briand,Le Sud-Ouest,45.463397,-73.596436,1653344136899,1653344584297
Marquette / du Mont-Royal,Le Plateau-Mont-Royal,45.53229,-73.57544,de Léry / Sherbrooke,Mercier - Hochelaga-Maisonneuve,45.5409997,-73.5582626,1653344133781,1653345714016
Viger / Chenneville,Ville-Marie,45.505312,-73.560891,Parc du Pélican (1ère avenue / Masson),Rosemont - La Petite-Patrie,45.5451997,-73.5764507,1653344134989,1653345700253
Henri-Julien / de Castelnau,Villeray - Saint-Michel - Parc-Extension,45.537891,-73.618215,Rachel / de Brébeuf,Le Plateau-Mont-Royal,45.52689,-73.57264,1653344136898,1653351693709
Newman / Senkus,LaSalle,45.444043,-73.613752,de l'Église / Bannantyne,Verdun,45.463254,-73.575879,1653344135148,1653345491231
Métro Radisson (Sherbrooke / des Groseilliers),Mercier - Hochelaga-Maisonneuve,45.589175,-73.539656,Souligny / Desmarteau,Mercier - Hochelaga-Maisonneuve,45.6046208,-73.5159963,1653344137774,1653344677867
Métro Peel (de Maisonneuve / Stanley),Ville-Marie,45.50038,-73.57507,Plessis / Logan,Ville-Marie,45.5217675,-73.5571025,1653344137816,1653345202336
Square Victoria (Viger / du Square-Victoria),Ville-Marie,45.50206,-73.56295,de la Commune / St-Sulpice,Ville-Marie,45.504242,-73.55347,1653344139744,1653344508364
Labadie / du Parc,Le Plateau-Mont-Royal,45.519895,-73.596827,Parc Jeanne-Mance (du Mont-Royal / du Parc),Le Plateau-Mont-Royal,45.517,-73.589,1653344140599,1653344356425
la Fontaine / Alexandre-de-Sève,Ville-Marie,45.5233037,-73.5579997,Notre-Dame / St-Gabriel,Ville-Marie,45.507144,-73.555119,1653344149699,1653345595135
Métro Atwater (Atwater / Ste-Catherine),Ville-Marie,45.489476,-73.584566,Métro Vendôme (de Marlowe / de Maisonneuve),Côte-des-Neiges - Notre-Dame-de-Grâce,45.473868,-73.604538,1653344145653,1653344894895
Turgeon / Notre-Dame,Le Sud-Ouest,45.478888,-73.581989,Notre-Dame / de la Montagne,Ville-Marie,45.493029,-73.564818,1653344142125,1653344826769
Parc de Bullion (de Bullion / Prince-Arthur),Le Plateau-Mont-Royal,45.515604,-73.572135,St-Jacques / St-Laurent,Ville-Marie,45.506421,-73.556466,1653344144879,1653344521543
Aylmer / Prince-Arthur,Le Plateau-Mont-Royal,45.508567,-73.577698,Lucien L'Allier / St-Jacques,Ville-Marie,45.493569,-73.568576,1653344140531,1653345045800
Quai de la navette fluviale,Ville-Marie,45.513741,-73.538382,de la Commune / St-Sulpice,Ville-Marie,45.504242,-73.55347,1653344143026,1653345620063
de la Roche / Bélanger,Rosemont - La Petite-Patrie,45.54167,-73.607604,5e avenue / Masson,Rosemont - La Petite-Patrie,45.5475583,-73.5754719,1653344153734,1653345126276
Louis-Hébert / St-Zotique,Rosemont - La Petite-Patrie,45.55001,-73.59576,19e avenue / St-Zotique,Rosemont - La Petite-Patrie,45.561594,-73.585643,1653344151143,1653345634889
Parc J.-Arthur-Champagne (de Chambly / du Mont-Royal),Rosemont - La Petite-Patrie,45.551584,-73.561916,de Bordeaux / Gilford,Le Plateau-Mont-Royal,45.53611,-73.576287,1653344152400,1653345101491
Marché Jean-Talon (Henri-Julien / Jean-Talon),Rosemont - La Petite-Patrie,45.536785,-73.614888,12e avenue / St-Zotique,Rosemont - La Petite-Patrie,45.556867,-73.589307,1653344153743,1653345136438
McTavish / Sherbrooke,Ville-Marie,45.502813,-73.576024,Hutchison / des Pins,Le Plateau-Mont-Royal,45.51069,-73.57805,1653344159905,1653344464129
des Bassins / du Séminaire,Ville-Marie,45.490452,-73.560172,St-Nicolas / Place d'Youville,Ville-Marie,45.501967,-73.555153,1653344154532,1653344726834
Souligny / Desmarteau,Mercier - Hochelaga-Maisonneuve,45.6046208,-73.5159963,Ste-Claire / Pierre-Tétreault,Mercier - Hochelaga-Maisonneuve,45.6019133,-73.5244185,1653344148540,1653344404314
Bennett / Pierre-de-Coubertin,Mercier - Hochelaga-Maisonneuve,45.5581597,-73.5484001,Valois / Ste-Catherine,Mercier - Hochelaga-Maisonneuve,45.54523,-73.53725,1653344153736,1653344737912
de la Commune / King,Ville-Marie,45.497515,-73.552571,Jeanne-Mance / René-Lévesque,Ville-Marie,45.506371,-73.564201,1653344156482,1653344647773
Complexe sportif Claude-Robillard,Ahuntsic-Cartierville,45.553262,-73.638615,de St-Firmin / Fleury,Ahuntsic-Cartierville,45.570657,-73.651842,1653344158378,1653345254797
de Bullion / du Mont-Royal,Le Plateau-Mont-Royal,45.521751,-73.585268,du Parc-Lafontaine / Rachel,Le Plateau-Mont-Royal,45.5254742,-73.5743251,1653344161980,1653344429412
Crescent / de Maisonneuve,Ville-Marie,45.498112,-73.577615,Roy / St-Laurent,Le Plateau-Mont-Royal,45.515616,-73.575808,1653344159841,1653344650897
Métro Fabre (Marquette / Jean-Talon),Villeray - Saint-Michel - Parc-Extension,45.5474078,-73.6076689,Parc Père-Marquette (de Lanaudière / de Bellechasse),Rosemont - La Petite-Patrie,45.539324,-73.5958784,1653344159097,1653345512996
Hutchison / Prince-Arthur,Le Plateau-Mont-Royal,45.509759,-73.576107,de Maisonneuve / Mansfield (nord),Ville-Marie,45.502311,-73.5733635,1653344161181,1653344512556
des Érables / Laurier,Le Plateau-Mont-Royal,45.5384608,-73.5776791,Cartier / Masson,Le Plateau-Mont-Royal,45.538021,-73.583524,1653344162195,1653344361156
St-Dominique / Gounod,Villeray - Saint-Michel - Parc-Extension,45.538738,-73.628022,de Lanaudière / du Mont-Royal,Le Plateau-Mont-Royal,45.5302211,-73.5769965,1653344164981,1653345467841
Labadie / du Parc,Le Plateau-Mont-Royal,45.519895,-73.596827,Parc Jeanne-Mance (du Mont-Royal / du Parc),Le Plateau-Mont-Royal,45.517,-73.589,1653344164980,1653344358709
Boyer / Beaubien,Rosemont - La Petite-Patrie,45.537041,-73.602026,du Rosaire / St-Hubert,Villeray - Saint-Michel - Parc-Extension,45.544819,-73.62151,1653344170684,1653344619626
University / Milton,Ville-Marie,45.506511,-73.576669,Prince-Arthur / du Parc,Le Plateau-Mont-Royal,45.51059,-73.57547,1653344170500,1653344402930
Parc St-Paul (Le Caron / Marc-Sauvalle),Le Sud-Ouest,45.461685,-73.584039,5e avenue / Bannantyne,Verdun,45.456365,-73.57614,1653344169988,1653344572224
Young / Wellington,Le Sud-Ouest,45.492825,-73.557978,Marché Atwater,Le Sud-Ouest,45.480208,-73.577599,1653344173685,1653344880482
