STARTSTATIONNAME,STARTSTATIONARRONDISSEMENT,STARTSTATIONLATITUDE,STARTSTATIONLONGITUDE,ENDSTATIONNAME,ENDSTATIONARRONDISSEMENT,ENDSTATIONLATITUDE,ENDSTATIONLONGITUDE,STARTTIMEMS,ENDTIMEMS
Messier / du Mont-Royal,Le Plateau-Mont-Royal,45.537114,-73.571003,Gauthier / Papineau,Le Plateau-Mont-Royal,45.529666,-73.567336,1653343864632,1653344167360
Métro Lionel-Groulx (St-Jacques / Atwater),Le Sud-Ouest,45.4836285,-73.5797026,Ste-Émilie / Sir-Georges-Etienne-Cartier,Le Sud-Ouest,45.472668,-73.58539,1653343864377,1653344724731
Métro Lionel-Groulx (St-Jacques / Atwater),Le Sud-Ouest,45.4836285,-73.5797026,Ste-Émilie / Sir-Georges-Etienne-Cartier,Le Sud-Ouest,45.472668,-73.58539,1653343865618,1653344744494
Métro Atwater (Atwater / Ste-Catherine),Ville-Marie,45.489476,-73.584566,Hillside / Ste-Catherine,Westmount,45.482826,-73.590843,1653343868290,1653345312742
Villeneuve / St-Laurent,Le Plateau-Mont-Royal,45.521342,-73.589419,du Mont-Royal / Clark,Le Plateau-Mont-Royal,45.51941,-73.58685,1653343869870,1653343969914
Roy / St-Laurent,Le Plateau-Mont-Royal,45.515616,-73.575808,d'Orléans / Masson,Rosemont - La Petite-Patrie,45.557192,-73.569847,1653343867733,1653345707801
Roy / St-Laurent,Le Plateau-Mont-Royal,45.515616,-73.575808,Dorion / Rachel,Le Plateau-Mont-Royal,45.531634,-73.5682458,1653343867235,1653344981824
Prince-Arthur / St-Urbain,Le Plateau-Mont-Royal,45.512587,-73.573739,Calixa-Lavallée / Sherbrooke,Le Plateau-Mont-Royal,45.52479,-73.56545,1653343873803,1653344385564
University / Prince-Arthur,Le Plateau-Mont-Royal,45.507402,-73.578444,Metcalfe / St-Catherine,Ville-Marie,45.500832,-73.572459,1653343872723,1653344236436
Parc Howard (de l'Épée / de Liège),Villeray - Saint-Michel - Parc-Extension,45.5616903,-73.610512,Émile-Journault / de Chateaubriand,Ahuntsic-Cartierville,45.549833,-73.640633,1653343868888,1653344981065
de l'Hôtel-de-Ville / Roy,Le Plateau-Mont-Royal,45.517401,-73.574605,Métro Atwater (Atwater / Ste-Catherine),Ville-Marie,45.489476,-73.584566,1653343873053,1653345416905
Dollard / Bernard,Outremont,45.516783,-73.611423,Waverly / Van Horne,Le Plateau-Mont-Royal,45.527363,-73.607723,1653343872955,1653344237452
Villeneuve / St-Laurent,Le Plateau-Mont-Royal,45.521342,-73.589419,St-Dominique / Bernard,Le Plateau-Mont-Royal,45.527933,-73.601223,1653343872475,1653344213454
La Ronde,Ville-Marie,45.521565,-73.535332,La Ronde,Ville-Marie,45.521565,-73.535332,1653343874766,1653346021968
St-Antoine / St-François-Xavier,Ville-Marie,45.504591,-73.559188,St-Antoine / St-François-Xavier,Ville-Marie,45.504591,-73.559188,1653343872409,1653345423814
Bloomfield / Jean-Talon,Villeray - Saint-Michel - Parc-Extension,45.5274603,-73.6241752,Waverly / St-Viateur,Le Plateau-Mont-Royal,45.523856,-73.600127,1653343873199,1653347264571
Melville / de Maisonneuve,Westmount,45.4818402,-73.595379,Métro Atwater (Atwater / Ste-Catherine),Ville-Marie,45.489476,-73.584566,1653343875706,1653344093957
Édouard-Montpetit / de Stirling,Côte-des-Neiges - Notre-Dame-de-Grâce,45.50723,-73.615085,Parc de la Confédération (Fielding / West Hill),Côte-des-Neiges - Notre-Dame-de-Grâce,45.471882,-73.6400217,1653343874040,1653344810394
Bernard / Jeanne-Mance,Le Plateau-Mont-Royal,45.524287,-73.604973,Parc du Pélican (1ère avenue / Masson),Rosemont - La Petite-Patrie,45.5451997,-73.5764507,1653343876324,1653344575444
Mackay / Ste-Catherine,Ville-Marie,45.495709,-73.576952,de la Commune / King,Ville-Marie,45.497515,-73.552571,1653343875809,1653345474354
Jeanne-Mance / Laurier,Le Plateau-Mont-Royal,45.5201249,-73.5952138,Jean-Brillant / de la Côte-des-Neiges,Côte-des-Neiges - Notre-Dame-de-Grâce,45.495415,-73.622341,1653343880123,1653344742605
Terminus Newman (Airlie / Lafleur),LaSalle,45.4250597,-73.6495992,LaSalle / 80e,LaSalle,45.4157687,-73.6379242,1653343874991,1653344958637
Parc Maisonneuve (Viau / Sherbrooke),Rosemont - La Petite-Patrie,45.5649368,-73.5555911,Métro Radisson (Sherbrooke / des Groseilliers),Mercier - Hochelaga-Maisonneuve,45.589175,-73.539656,1653343880035,1653344850144
Métro Charlevoix (Centre / Charlevoix),Le Sud-Ouest,45.478228,-73.569651,Ropery / Augustin-Cantin,Le Sud-Ouest,45.480914,-73.56846,1653343881394,1653344047030
Clark / St-Viateur,Le Plateau-Mont-Royal,45.5251603,-73.5992467,Parc Père-Marquette (Chambord / Rosemont),Rosemont - La Petite-Patrie,45.537088,-73.593219,1653343882675,1653344383627
Marquette / Laurier,Le Plateau-Mont-Royal,45.53543,-73.5822,Mozart / Waverly,Rosemont - La Petite-Patrie,45.5315651,-73.6169464,1653343884388,1653344795186
McTavish / Sherbrooke,Ville-Marie,45.502813,-73.576024,St-Dominique / Napoléon,Le Plateau-Mont-Royal,45.5166644,-73.5772204,1653343884636,1653344371026
Métro Place-d'Armes (Viger / St-Urbain),Ville-Marie,45.50623,-73.55976,Ste-Catherine / Labelle,Ville-Marie,45.515065,-73.55923,1653343889658,1653345736072
de Maisonneuve / Mansfield (sud),Ville-Marie,45.502145,-73.573427,Métro St-Laurent (de Maisonneuve / St-Laurent),Ville-Marie,45.51066,-73.56497,1653343886713,1653344438255
Aylwin / Ontario,Mercier - Hochelaga-Maisonneuve,45.544284,-73.54534,Wurtele / de Rouen,Ville-Marie,45.537628,-73.553394,1653343887936,1653344638437
Parc riverain de Lachine (des Iroquois),Lachine,45.4305431,-73.6690244,des Bassins / du Séminaire,Ville-Marie,45.490452,-73.560172,1653343882327,1653346730101
Place Émilie-Gamelin,Ville-Marie,45.515901,-73.559948,de l'Hôtel-de-Ville / Sherbrooke,Ville-Marie,45.514565,-73.568407,1653343890071,1653344142818
Métro Papineau (Cartier / Ste-Catherine),Ville-Marie,45.52353,-73.55199,St-André / St-Antoine,Ville-Marie,45.514114,-73.552645,1653343891471,1653344549501
de Gaspé / Beaubien,Rosemont - La Petite-Patrie,45.5319579,-73.607001,Beaubien / 8e avenue,Rosemont - La Petite-Patrie,45.553457,-73.587842,1653343896195,1653345515888
Parc Maisonneuve (Viau / Sherbrooke),Rosemont - La Petite-Patrie,45.5649368,-73.5555911,Parc Maisonneuve (Viau / Sherbrooke),Rosemont - La Petite-Patrie,45.5649368,-73.5555911,1653343896423,1653346394503
St-Dominique / Rachel,Le Plateau-Mont-Royal,45.518593,-73.581566,Ann / Wellington,Le Sud-Ouest,45.4945271,-73.5567525,1653343900097,1653345271651
St-Dominique / St-Viateur,Le Plateau-Mont-Royal,45.526557,-73.598276,Boyer / St-Zotique,Rosemont - La Petite-Patrie,45.53848,-73.60556,1653343898602,1653344330118
Queen / Wellington,Ville-Marie,45.497605,-73.55535,de la Commune / King,Ville-Marie,45.497515,-73.552571,1653343906659,1653344988164
de Maisonneuve / Mansfield (sud),Ville-Marie,45.502145,-73.573427,Notre-Dame / de la Montagne,Ville-Marie,45.493029,-73.564818,1653343911505,1653344476663
Quai de la navette fluviale,Ville-Marie,45.513741,-73.538382,Métro Préfontaine (Moreau / Hochelaga),Mercier - Hochelaga-Maisonneuve,45.54178,-73.555714,1653343910270,1653346320636
Métro Atwater (Atwater / Ste-Catherine),Ville-Marie,45.489476,-73.584566,de la Côte St-Antoine / Argyle,Westmount,45.486241,-73.5957277,1653343905710,1653344520482
Métro Sauvé (Berri / Sauvé),Ahuntsic-Cartierville,45.550692,-73.656367,Drolet / Jarry,Villeray - Saint-Michel - Parc-Extension,45.541955,-73.629942,1653343903271,1653344521262
de Maisonneuve / Mansfield (sud),Ville-Marie,45.502145,-73.573427,Alexandre-DeSève  / Ontario,Ville-Marie,45.5243588,-73.5605344,1653343907510,1653344601021
Brittany / Ainsley,Mont-Royal,45.5258899,-73.6500344,Graham / Kindersley,Mont-Royal,45.51405,-73.6472556,1653343909796,1653345146482
